Province,gdp_pc_pp,pop,plgp,unemp,bashs,pov_head,shew,ophe,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,axhealth,fa,pe,v,pv,v_s,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,protection,peref,faref,share1_ref,gdp_pc_pp_ref,pov_head_ref,macro_multiplier,cp,cr,v_shew,v_shew_shared,v_p,v_r,tot_p,tot_r,fap,far,delta_W,dW_noupscale,dW_no_transfers,dKpc,dcap,dcar,dKtot,dWsurWprime,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,total_equivalent_cost_of_nat_buyout,resilience,resilience_no_shock,resilience_no_shock_no_uspcale,resilience_no_shock_no_SP,risk_to_assets
Davao Del Norte,156.28299999999987,992308.737024673,0.7724,0.161,0.771310854328471,0.3343261,0.861990950226244,0.0276104470817409,184.136684529347,0.848733648047693,0.319932430270727,0.539234654715103,0.539234654715103,0.327049914685371,0.327049914685371,0.0239337264435033,0.0184,0.2,0.128439550655125,1.38583259632111,0.07233744125125402,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,7.9,0.2,0.0184,0.319932430270727,156.283,0.3343261,1.1716611437469593,49.999999999999986,209.66226105605142,0.1062968045919564,0.07440776321436947,0.17752446689618548,0.041906618114923314,0.5513666097902471,0.5513666097902471,0.02208,0.01655176763277034,0.08002988521911902,0.09908282367905485,0.1275817861642281,1.0082672372107144,17.42469172188759,17.486882533047037,1000512.3887399205,1.7885767202749074,0.00028713671976819905,0.22721441755652344,0.001453865216028125,225466.85171931048,808.9454588356637,0.561710676533711,0.5637260206851747,0.45532542427938605,0.353615747881062,0.0008166516140839879
Ifugao,149.06199999999998,197584.190285786,0.7855,0.165,0.852892102335929,0.4244743,0.953416149068323,0.0314139693356048,184.136684529347,0.80951821404302,0.33543089452711,0.499190243762243,0.499190243762243,0.40868266233886,0.40868266233886,0.0160504260838751,0.0571,0.2,0.108746776871971,0.344175585966995,0.08913408659176222,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,10.64,0.2,0.0571,0.33543089452711,149.062,0.4244743,1.1716611437469593,50.000000000000064,222.124372551912,0.08801059022619764,0.06160741315833835,0.08281118068202022,0.050496397751767896,0.6057884415592398,0.6057884415592398,0.06852,0.04867727186466216,0.20287457258018549,0.21848285915257293,0.2517119865915447,2.6997392156848483,7.5524262133480216,20.6626928212872,533425.7869138737,4.534015470085365,0.0001530876902854973,0.42645082758279673,0.002860895651358473,84259.94146465023,63.58194454022155,0.5949921357414216,0.5954411125187489,0.5529031506977545,0.47991302613226094,0.0017022104137351232
Ilocos Norte,192.38199999999986,579429.044110523,0.9383,0.206,0.985168400453188,0.0988187,0.886567164179105,0.032202580028667,184.136684529347,1.04477823358082,0.259899574804296,0.614787928154712,0.614787928154712,0.446950440736166,0.446950440736166,0.00306940816754661,0.0599,0.2,0.11901721524421,2.16335982252997,0.10685277460611704,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,48.14,0.2,0.0599,0.259899574804296,192.382,0.0988187,1.1716611437469593,50.000000000000036,207.99484521039204,0.09791386424269931,0.06853970496988951,0.21681574894980618,0.061534439632871925,0.6313002938241105,0.6313002938241105,0.07188,0.05858633755937901,0.1973169363081979,0.21483838717540493,0.25926117891503964,4.675420036669912,17.985261833478045,22.57523261450834,2709074.1626628335,4.409808633743963,0.0007774762985748418,0.0919647765451907,0.0004780321264213424,53287.062565417684,209.96387304826445,1.056070783269585,1.0602319567551037,0.9737632284129929,0.806914951009764,0.0005048357621778123
Ilocos Sur,175.90999999999988,672277.192943119,0.8686,0.206,0.975518185373485,0.1728976,0.886567164179105,0.032202580028667,184.136684529347,0.955322946373372,0.284236257176965,0.643920540702937,0.643920540702937,0.446950440736166,0.446950440736166,0.00401889158434703,0.0413,0.2,0.112994104391206,1.77667612571222,0.09212363422201333,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,27.75,0.2,0.0413,0.284236257176965,175.91,0.1728976,1.1716611437469593,49.99999999999988,202.23024380052567,0.09295873185139214,0.0650711122959745,0.18068140398577126,0.053052213474957644,0.6313002938241105,0.6313002938241105,0.04956,0.0395733284584835,0.1393905547374743,0.1564955911344441,0.1994382938137278,2.661965149464084,14.842834354878002,18.364019001487943,1789578.4583941246,3.11522002745659,0.0005135905303064606,0.1126738086645816,0.0006405196331338844,75748.03180723499,279.09690078225583,0.8513661976078548,0.8545030932012323,0.7611055322566967,0.5972256275790947,0.0005453167645543733
Isabela,169.87099999999992,1533715.59215201,0.8583,0.121,0.916680693485945,0.2437012,0.895865237366003,0.0265938129353891,184.136684529347,0.922526656946115,0.294340999935245,0.600693080642694,0.600693080642694,0.339605685126709,0.339605685126709,0.00955083239560788,0.0859,0.2,0.114194236704049,1.25406742999846,0.08950557919720512,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,10.29,0.2,0.0859,0.294340999935245,169.871,0.2437012,1.1716611437469593,49.99999999999998,208.49687980464856,0.09373370730990853,0.06561359511693597,0.14789746771819137,0.0514280142646116,0.5597371234178059,0.5597371234178059,0.10308,0.0803641104600457,0.31544896290870383,0.3607604498611181,0.43249782886414323,5.201709738115363,14.800226707259466,22.6221112020841,7977943.33119648,7.049924786829292,0.002289587319854578,0.6900966427465506,0.004062474717559504,1058411.98107214,7682.151270049622,0.732522257225625,0.7378390401885173,0.6451665089968237,0.5381542853805473,0.0029758531500287213
Kalinga,170.38499999999996,207635.165378523,0.6841,0.165,0.939818631492168,0.267678,0.953416149068323,0.0314139693356048,184.136684529347,0.925318061610068,0.293453062182704,0.607822777429657,0.607822777429657,0.40868266233886,0.40868266233886,0.00749430853431944,0.0658,0.2,0.107277930923384,0.614705866523803,0.09431700088820985,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,7.5,0.2,0.0658,0.293453062182704,170.385,0.267678,1.1716611437469593,50.000000000000014,214.38806972888972,0.08682182856718594,0.060775279997030154,0.09813420115083132,0.0534326313727554,0.6057884415592398,0.6057884415592398,0.07895999999999999,0.06098976286387683,0.21457493469279143,0.23035378373606363,0.2640529481395788,3.822046761187694,8.965539649069111,21.474162940112887,793591.3113436551,4.795505227768963,0.0002277525081550934,0.6400793648992565,0.003756664993392943,132902.9847862371,141.0648833224629,0.7961610118539502,0.7970060670678998,0.7424124840371747,0.6476637583324879,0.0029909102023360384
La Union,206.39899999999963,759942.515079343,0.8231,0.206,0.949601300611597,0.1849658,0.886567164179105,0.032202580028667,184.136684529347,1.12090103353145,0.242249235703661,0.581058264319275,0.581058264319275,0.446950440736166,0.446950440736166,0.00656885053275386,0.0183,0.2,0.111125881096244,1.69785864256708,0.09391817597944,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,23.79,0.2,0.0183,0.242249235703661,206.399,0.1849658,1.1716611437469593,49.99999999999984,241.8925610728969,0.0914217696421637,0.06399523874951459,0.17265010794352162,0.054085655253592727,0.6313002938241105,0.6313002938241105,0.02196,0.01746939089427168,0.0605058281798847,0.06803039859369164,0.08691424849530449,1.3747856572360728,14.001272321648145,21.599791140308373,1044758.0700549887,1.3522362980678349,0.00029983477322530655,0.05712220527581227,0.0002767562113954635,43409.59234417929,215.11490161946256,1.0116623439139096,1.0166756055879123,0.9042251813601255,0.7077642684755626,0.00027998383751306804
Laguna,249.09199999999996,2838393.48641403,0.8424,0.175,0.924050417305399,0.0639343,1.11720698254364,0.0348488090058342,184.136684529347,1.3527559738391,0.20072904790198,0.592091447554131,0.592091447554131,0.362780034735979,0.362780034735979,0.00920506109468192,0.0031,0.2,0.110560290255839,2.62406528307579,0.10450587396625223,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,8.78,0.2,0.0031,0.20072904790198,249.092,0.0639343,1.1716611437469593,49.99999999999999,262.6901989892376,0.08585654460266402,0.06009958122186481,0.2178048058335539,0.056808454880707404,0.5751866898239858,0.5751866898239858,0.0037199999999999998,0.00305765332924815,0.00815558286922169,0.008865426541888155,0.010130894097528653,0.28138034652277405,20.140855060015376,27.677151311131542,798668.1427751646,0.18226798176986467,0.00022920950632969437,0.02134288758472763,8.568275008722733e-05,60579.51310175777,1702.5638160270787,1.5015716749174692,1.5437727668376267,1.420164802190152,1.2427695532088556,0.00012865879056001288
Lanao Del Norte,164.6719999999999,969716.979767905,0.561,0.312,0.80891303459826,0.4906101,0.854588796185936,0.0311973744053692,184.136684529347,0.894292196152555,0.303633890400311,0.556690327994871,0.556690327994871,0.330754776712315,0.330754776712315,0.0203704946802613,0.0106,0.2,0.125093213352617,0.771038394098695,0.06489060493105421,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,8.09,0.2,0.0106,0.303633890400311,164.672,0.4906101,1.1716611437469593,49.99999999999999,275.1163597864817,0.10371256163060831,0.07259879314142581,0.1285752500186941,0.037659753698484996,0.5538365178082099,0.5538365178082099,0.01272,0.008558158550061555,0.04528812819626182,0.05589649680769071,0.07193895684031304,0.5297293463234424,12.528453635641544,20.311849610726565,513687.5418111951,1.0121380478665043,0.0001474230178471062,0.12551703143256243,0.0007622244913073409,121715.99663021763,396.21287649013516,0.5216783961669421,0.5233765763870493,0.4240470662747523,0.3294841422145115,0.0003976360501443769
Lanao Del Sur,131.98100000000005,962426.556333156,0.2035,0.124,0.728467598032815,0.7376792,0.66199649737303,0.00891809076634602,184.136684529347,0.716755601076142,0.378842409134648,0.39129314485286,0.39129314485286,0.238984286945568,0.238984286945568,0.0274780672046984,0.0506,0.2,0.174624388714456,0.401768938602814,-0.15536642202372214,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,10.34,0.2,0.0506,0.378842409134648,131.981,0.7376792,1.1716611437469593,50.0,362.52191972577106,0.15150424197748075,0.10605296938423651,0.14866175832941794,-0.0943572116101335,0.4926561912970452,0.4926561912970452,0.060719999999999996,0.022141282643236844,0.09186000410409179,0.3194261733297026,0.53596812685646,0.8339517634626451,15.782611550281413,-77.07657242467694,802617.3238573162,2.052966393930118,0.00023034288050322935,0.19904393566491033,0.001508125682218731,191565.1695609779,480.3578378982424,0.4052018712370614,0.40621793222156,0.11681942194045732,0.06962201491325197,0.0006110953484956997
Maguindanao,140.21799999999996,1274192.94879532,0.3038,0.124,0.550515907136715,0.589185995648955,0.66199649737303,0.00891809076634602,184.136684529347,0.761488675428239,0.356587599309646,0.39129314485286,0.39129314485286,0.238984286945568,0.238984286945568,0.0451938868277366,0.0757,0.2,0.156045174592697,0.802509286186059,-0.011440490350258513,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,7.23,0.2,0.0757,0.356587599309646,140.218,0.589185995648955,1.1716611437469593,49.99999999999993,269.6078980864239,0.13538490279023133,0.09476943195316193,0.17082278114215219,-0.006948044209566795,0.4926561912970452,0.4926561912970452,0.09084,0.053986339122697714,0.3597703292798542,0.5621997473353986,0.7560085313380114,2.5813066787787715,18.772812032752302,-4.348707746855874,3289082.7687781765,8.0404568097751,0.0009439327767470245,1.1150141952260508,0.007952004701436697,1420743.2253637223,3727.6172841894163,0.3201996931332425,0.32103980406195026,0.2054440553677483,0.1527768421010945,0.002546229465194132
Negros Occidental,145.9589999999999,2981577.20469059,0.7366,0.188,0.86910581253869,0.323328,0.823002754820937,0.0443184077590071,184.136684529347,0.792666601840208,0.342561952329079,0.584921770775726,0.584921770775726,0.432902672615501,0.432902672615501,0.0150152880354217,0.0372,0.2,0.155918236282784,1.2938576850206,0.08927803315374976,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,14.13,0.2,0.0372,0.342561952329079,145.959,0.323328,1.1716611437469593,50.0,191.81021233330165,0.1302540086852734,0.09117780607969138,0.20914891117921808,0.0522079737953505,0.6219351150770005,0.6219351150770005,0.04463999999999999,0.03364501276837227,0.18011178774031578,0.21647634297551122,0.3026858831399295,2.3535510769291865,17.504634477243233,17.371712389609645,7017294.241047052,4.025293172886678,0.0020138909549737684,0.2880609582724916,0.0019735744851122,858875.9867465883,9603.383558920483,0.5782252664131992,0.5846905991300437,0.4864719517928183,0.347917345836656,0.0011411706324402943
North Cotabato,136.88899999999995,1288466.35114615,0.6389,0.221,0.704441493286115,0.5235602,0.881398252184769,0.0421751327200714,184.136684529347,0.743409714093028,0.365259443782919,0.473517553705807,0.473517553705807,0.348469006721434,0.348469006721434,0.0310413463450319,0.1015,0.2,0.150231297764631,0.919398518888184,0.015895332482833,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,8.5,0.2,0.1015,0.365259443782919,136.889,0.5235602,1.1716611437469593,49.999999999999986,232.37141397507085,0.12374857710999193,0.08662400397699435,0.16626598493360714,0.009165316180426014,0.5656460044809558,0.5656460044809558,0.1218,0.07919230853509719,0.4157883415136894,0.5976205166771251,0.8950694444029068,3.791879312907015,15.83690121655479,4.436829386786709,4885708.902287872,9.292395536454377,0.001402147983106982,1.0969096406792012,0.008013132104692131,1413331.1622629648,4766.1255518007765,0.40669115488954116,0.4080626247592827,0.2839053835128807,0.18955812092945365,0.003258869949939702
Nueva Ecija,169.59199999999996,2020505.5211558,0.7982,0.099,0.938735923271728,0.251958,1.0034516765286,0.0392761289644462,184.136684529347,0.921011478149923,0.294825227605076,0.66171307823978,0.66171307823978,0.382118437118437,0.382118437118437,0.00796990333212614,0.1536,0.2,0.110164562541384,0.893639942160939,0.09232665484624272,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,9.92,0.2,0.1536,0.294825227605076,169.592,0.251958,1.1716611437469593,50.000000000000036,209.87337609385563,0.08805559954614568,0.06163891968230197,0.11672192030205707,0.051658311269246346,0.5880789580789578,0.5880789580789578,0.18431999999999998,0.14325278719644083,0.5139229938686185,0.5664721130633552,0.6663986458443105,8.899508211406738,11.669500625764297,23.38814812940098,17981505.476718694,11.485593167236003,0.005160506313751458,1.1694480445202864,0.0068956557179600825,2362876.2306580925,23726.585212962014,0.7671378374571697,0.7748409752831595,0.7029623958647816,0.5975531257046317,0.0052899184153250645
Nueva Vizcaya,214.1690000000002,433165.204738251,0.7529,0.121,0.865438596491228,0.2067043,0.895865237366003,0.0265938129353891,184.136684529347,1.16309794839315,0.233460491481027,0.594974157700887,0.594974157700887,0.339605685126709,0.339605685126709,0.0146069059579849,0.1914,0.2,0.111193496720947,1.56826140582462,0.09367423936753126,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,14.25,0.2,0.1914,0.233460491481027,214.169,0.2067043,1.1716611437469593,50.00000000000012,256.94553115565884,0.09127061905425359,0.0638894333379775,0.16408476588193244,0.05382323830122163,0.5597371234178059,0.5597371234178059,0.22967999999999997,0.18142561011738748,0.6724331585610344,0.7705692646450188,0.9259408032085048,14.782127229795927,17.208688975472647,32.578636120355206,6403103.167961428,15.028114685535856,0.0018376244619033267,1.0574865612505107,0.0049376266464825,458066.3828120264,1251.8032157014018,0.9809507749331353,0.9836315159361484,0.8583607956720471,0.7143290854331015,0.004843568685197507
Pampanga,235.62099999999964,2444446.17134412,0.838,0.099,0.943041497975708,0.0758104,1.0034516765286,0.0392761289644462,184.136684529347,1.27959836250037,0.212205193934327,0.58379321753871,0.58379321753871,0.382118437118437,0.382118437118437,0.00754780117709507,0.1074,0.2,0.110003344164806,2.75093218960166,0.10184575794778351,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,8.49,0.2,0.1074,0.212205193934327,235.621,0.0758104,1.1716611437469593,49.999999999999986,250.84731531278825,0.08792673613962057,0.0615487152977344,0.23086505743890007,0.05698440904504435,0.5880789580789578,0.5880789580789578,0.12888,0.10563801588764901,0.3033729825328919,0.3337274382938631,0.392375949973939,9.368554444564493,21.61241640400029,29.461633014686587,22900927.043044616,6.780040389075415,0.00657232948316845,0.8158921628016705,0.0034627310927365157,1994404.473590217,43207.15448587736,1.3524839913741047,1.381784459523267,1.2561031087112808,1.068353125952332,0.004683288369359498
Pangasinan,182.38800000000006,2854701.4824351,0.8558,0.206,0.925575349237445,0.2037179,0.886567164179105,0.032202580028667,184.136684529347,0.990503334336574,0.274140842599294,0.635505299806107,0.635505299806107,0.446950440736166,0.446950440736166,0.00893276078907452,0.1488,0.2,0.11262650158894,1.4986151419386,0.09200093349302202,0.23,3,0.2,0.3,0.333333333333333,0.333333333333333,1.5,17.58,0.2,0.1488,0.274140842599294,182.388,0.2037179,1.1716611437469593,50.00000000000005,216.25766170054564,0.092656309963916,0.0648594169747412,0.1620587213503978,0.05298155250589195,0.6313002938241105,0.6313002938241105,0.17855999999999997,0.14118631044952537,0.5069027992722113,0.568696082358656,0.7230961772256705,9.831487955560922,14.28768422095141,22.807265872104907,28065963.241282593,11.328699819300349,0.008054641514620549,0.654648002095744,0.0035893150980094305,1868824.6220558968,29695.46115343712,0.854264843952083,0.8678390382284935,0.7735415302514632,0.6083700227589998,0.0030662257020958815
