province,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho,protectionref,gdp_pc_pp_ref,v_s,macro_multiplier,cp,cr,v_shew,v_shew_shared,tot_p,tot_r,dK,delta_W,dcap,dcar,dKtot,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,resilience,risk_to_assets
Davao Del Norte,156.28299999999987,992308.737024673,0.3343261,0.861990950226244,184.13668452934704,0.8487336480476929,0.319932430270727,0.539234654715103,0.539234654715103,0.32704991468537103,0.32704991468537103,0.0240547700159559,0.01934138302912444,0.306435266609834,0.1,7.9,0.23000000000000004,3.0,0.2,0.30000000000000004,0.3333333333333329,0.3333333333333329,1.5,0.05,7.9,156.283,0.1,1.1716611437469595,49.999999999999986,209.66226105605142,0.08276018099547514,0.05793212669683257,0.5513666097902471,0.5513666097902471,2.0209985680775095,0.13117933243731572,24.901009616254296,34.4090227402625,2005454.5366176653,0.0005755447346472969,0.3727305489443753,0.0023849718071983217,369863.7802735061,0.6863472937183183,0.0016369189454650548
Ifugao,149.06199999999998,197584.190285786,0.42447430000000014,0.953416149068323,184.13668452934704,0.8095182140430202,0.33543089452711,0.499190243762243,0.499190243762243,0.4086826623388601,0.4086826623388601,0.08213126684496785,0.06351737360562133,0.14617476252390302,0.1,10.64,0.23,2.9999999999999996,0.2,0.3,0.333333333333333,0.333333333333333,1.4999999999999998,0.05,10.64,149.062,0.1,1.1716611437469595,50.000000000000064,222.124372551912,0.08093167701863355,0.05665217391304348,0.6057884415592399,0.6057884415592399,5.362587774159279,0.3215604687490461,10.75099441064315,32.91696811327138,1059562.5631937168,0.0003040833862011404,0.6760628588438122,0.004535447389970698,133579.33254694828,0.7454966705540514,0.003381160928696218
Ilocos Norte,192.38199999999986,579429.044110523,0.0988187,0.8865671641791051,184.136684529347,1.04477823358082,0.259899574804296,0.6147879281547121,0.6147879281547121,0.446950440736166,0.446950440736166,0.09154334589177779,0.07829358536005501,0.376494276892936,0.11069009836215,48.14,0.22999999999999998,3.0,0.20000000000000004,0.3,0.333333333333333,0.333333333333333,1.5,0.05000000000000001,48.14,192.382,0.11069009836215,1.1716611437469593,50.000000000000036,207.99484521039207,0.0910632570406225,0.06374427992843575,0.6313002938241105,0.6313002938241105,9.170743404932395,0.3210055822600865,25.62689755649066,33.21195632694647,5313795.08490286,0.0015250042951702107,0.14973392197801627,0.00077831565311732,86760.18328264159,1.2722669806912323,0.0009902253060162973
Ilocos Sur,175.90999999999985,672277.192943119,0.1728976,0.886567164179105,184.13668452934698,0.9553229463733719,0.284236257176965,0.643920540702937,0.643920540702937,0.446950440736166,0.446950440736166,0.05697384622502307,0.04798902010586037,0.313748032009296,0.10000000000000002,27.75,0.23,3.0,0.20000000000000004,0.30000000000000004,0.333333333333333,0.333333333333333,1.5,0.05000000000000001,27.75,175.91,0.10000000000000002,1.1716611437469593,49.99999999999987,202.23024380052564,0.08226865671641789,0.05758805970149253,0.6313002938241105,0.6313002938241105,4.891254300258405,0.21217448612900544,21.138849007638896,28.204161949802447,3288278.710948679,0.0009437020204562844,0.17163778749038103,0.0009757136461280259,115388.16997700094,1.0269382914027962,0.0010019977046531075
Isabela,169.87099999999992,1533715.5921520104,0.24370119999999998,0.895865237366003,184.136684529347,0.922526656946115,0.294340999935245,0.600693080642694,0.600693080642694,0.33960568512670897,0.33960568512670897,0.1139515726236639,0.09429895833538714,0.2574015096481321,0.10000000000000002,10.29,0.23000000000000004,2.9999999999999996,0.20000000000000004,0.3,0.333333333333333,0.333333333333333,1.4999999999999998,0.05000000000000001,10.29,169.871,0.10000000000000002,1.1716611437469595,49.999999999999986,208.49687980464853,0.08208269525267996,0.05745788667687595,0.5597371234178059,0.5597371234178059,9.403137236100598,0.4771506967484801,21.01836864885331,35.50859755884358,14421738.194152644,0.004138888195299974,1.0453137069484069,0.006153573634984234,1603213.931036989,0.8741999042047336,0.0053794534822199916
Kalinga,170.38499999999996,207635.165378523,0.2676780000000001,0.9534161490683231,184.136684529347,0.9253180616100678,0.29345306218270395,0.607822777429657,0.607822777429657,0.40868266233886,0.40868266233886,0.07932553980325481,0.06519676920841405,0.17322230441052294,0.09999999999999999,7.500000000000002,0.23,2.9999999999999996,0.19999999999999998,0.3,0.3333333333333329,0.3333333333333329,1.4999999999999998,0.049999999999999996,7.500000000000002,170.38499999999996,0.09999999999999999,1.1716611437469595,50.00000000000002,214.38806972888966,0.08093167701863355,0.05665217391304348,0.6057884415592398,0.6057884415592398,6.0698958154888265,0.2777889845733321,12.60599705059727,31.824236335013346,1260323.8214794274,0.0003616997699411532,0.8288471065123738,0.004864554429746598,172097.806034207,0.9764399678857953,0.0047499453711604715
La Union,206.39899999999966,759942.515079343,0.1849658,0.8865671641791049,184.136684529347,1.12090103353145,0.242249235703661,0.581058264319275,0.581058264319275,0.4469504407361661,0.4469504407361661,0.022715612175991978,0.019080297319267053,0.299801918728384,0.1,23.79,0.23,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,23.79,206.39899999999997,0.1,1.1716611437469593,49.99999999999984,241.8925610728969,0.08226865671641792,0.057588059701492535,0.6313002938241105,0.6313002938241105,2.2440026705363794,0.08172141878422344,19.948486967413036,32.630360602468414,1705313.0332921783,0.0004894072238067596,0.07723069614003113,0.00037418154225568503,58690.88946598376,1.2213467410408072,0.000457005407191604
Laguna,249.09199999999993,2838393.4864140297,0.06393429999999999,1.11720698254364,184.13668452934704,1.3527559738391,0.20072904790198,0.5920914475541309,0.5920914475541309,0.3627800347359789,0.3627800347359789,0.0223513682475805,0.019236847698029247,0.40067770960296895,0.10597166893473797,8.779999999999998,0.23000000000000004,2.999999999999999,0.2,0.29999999999999993,0.333333333333333,0.333333333333333,1.4999999999999996,0.05,8.779999999999998,249.09199999999998,0.10597166893473797,1.1716611437469593,50.0,262.6901989892376,0.08229321123759954,0.057605247866319674,0.5751866898239857,0.5751866898239857,2.5558970132597425,0.06269440520179785,28.89589755696391,40.656037623268034,7254641.434381527,0.002082006301159315,0.16488377635993126,0.00066193926886424,468005.03683537646,1.7655129561576615,0.0011686623553693453
Lanao Del Norte,164.67199999999988,969716.979767905,0.49061009999999994,0.8545887961859359,184.13668452934704,0.894292196152555,0.303633890400311,0.5566903279948711,0.5566903279948711,0.33075477671231507,0.33075477671231507,0.012669740988071658,0.009425517041959644,0.22154488368866407,0.1,8.09,0.23000000000000007,2.9999999999999996,0.2,0.30000000000000004,0.3333333333333329,0.3333333333333329,1.4999999999999998,0.05,8.09,164.672,0.1,1.1716611437469595,50.0,275.11635978648167,0.08290822407628129,0.0580357568533969,0.5538365178082099,0.5538365178082099,1.0347856764725247,0.06922616765857924,17.903927234034565,44.609017220263574,1003449.2408960251,0.0002879794489273975,0.19203493082734954,0.0011661662627972548,186219.53313183595,0.6660727304270286,0.0007767515467932513
Lanao Del Sur,131.98100000000005,962426.556333156,0.7376792,0.66199649737303,184.13668452934704,0.7167556010761419,0.378842409134648,0.39129314485285993,0.39129314485285993,0.23898428694556798,0.23898428694556798,0.058190000000000006,0.029255961982427605,0.244783044022428,0.1,10.34,0.23,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,10.34,131.981,0.1,1.1716611437469595,50.00000000000001,362.5219197257711,0.08676007005253943,0.06073204903677758,0.4926561912970452,0.4926561912970452,4.330394002481809,0.5011825968394987,23.801662997728773,70.758798897192,4167686.187374319,0.0011960828814654198,1.0858405129316053,0.00822724871710023,1045041.7455877926,0.38569217916995985,0.003173185486271644
Maguindanao,140.21800000000002,1274192.9487953198,0.5891859956489551,0.66199649737303,184.136684529347,0.761488675428239,0.356587599309646,0.39129314485285993,0.39129314485285993,0.23898428694556798,0.23898428694556798,0.09263744753573121,0.0632247566275061,0.2812728762678601,0.1,7.23,0.23,2.9999999999999996,0.2,0.30000000000000004,0.3333333333333329,0.3333333333333329,1.4999999999999998,0.05,7.23,140.21800000000002,0.1,1.1716611437469595,49.99999999999993,269.6078980864239,0.0867600700525394,0.06073204903677757,0.4926561912970451,0.4926561912970451,7.910107020663933,0.7567181791305189,27.517416271408663,53.814756706576375,10079002.589946337,0.002892568446211334,2.348055510423478,0.01674574955015389,2991875.774761591,0.46594612275174135,0.007802617075465921
Negros Occidental,145.9589999999999,2981577.20469059,0.32332800000000006,0.8230027548209371,184.136684529347,0.7926666018402079,0.342561952329079,0.5849217707757259,0.5849217707757259,0.432902672615501,0.432902672615501,0.04669104712431584,0.037690916216826686,0.35765424453212097,0.122579410501458,14.129999999999999,0.22999999999999998,3.0,0.20000000000000004,0.3,0.33333333333333304,0.33333333333333304,1.5,0.05000000000000001,14.129999999999999,145.95899999999997,0.122579410501458,1.1716611437469593,49.99999999999999,191.81021233330165,0.1024027719960527,0.07168194039723688,0.6219351150770005,0.6219351150770005,4.512327088327719,0.28244660989452414,25.00899049594294,33.68788644348315,13453851.58666579,0.0038611164202661296,0.4528415684920649,0.00310252583596808,1350182.0979522732,0.7051997104524513,0.0021879003211959396
North Cotabato,136.88899999999995,1288466.35114615,0.5235602000000001,0.8813982521847691,184.13668452934706,0.7434097140930281,0.365259443782919,0.47351755370580695,0.47351755370580695,0.348469006721434,0.348469006721434,0.11855067273270067,0.08609509025196667,0.288353730420083,0.1,8.5,0.23000000000000007,2.9999999999999987,0.2,0.3,0.3333333333333329,0.3333333333333329,1.4999999999999993,0.05,8.5,136.88899999999998,0.1,1.1716611437469595,50.0,232.37141397507088,0.08237203495630464,0.05766042446941323,0.5656460044809557,0.5656460044809557,9.455133905342647,0.795422275049764,23.26860194614134,38.98449479299085,12182621.882615088,0.00349628520632851,2.100579589369195,0.015345130648694893,2706526.1188066048,0.5295532244413735,0.008126063414490526
Nueva Ecija,169.59199999999998,2020505.5211558002,0.25195800000000007,1.0034516765286003,184.13668452934704,0.921011478149923,0.294825227605076,0.6617130782397803,0.6617130782397803,0.3821184371184371,0.3821184371184371,0.18715163167084617,0.15451832713467145,0.20861201583905103,0.10000000000000002,9.92,0.23000000000000004,3.000000000000001,0.20000000000000004,0.30000000000000004,0.333333333333333,0.333333333333333,1.5000000000000004,0.05000000000000001,9.92,169.592,0.10000000000000002,1.1716611437469595,50.000000000000036,209.87337609385563,0.07993096646942802,0.055951676528599614,0.5880789580789579,0.5880789580789579,14.485351773832335,0.6906337222889561,16.270447703135616,34.683417346502424,29267733.234912194,0.008399533673290636,1.574859162887329,0.009286164222883914,3182011.63365665,0.9272047603339755,0.008610175672701018
Nueva Vizcaya,214.1690000000002,433165.20473825105,0.2067043,0.8958652373660029,184.136684529347,1.16309794839315,0.233460491481027,0.5949741577008871,0.5949741577008871,0.339605685126709,0.339605685126709,0.23630374211602995,0.1974503520969925,0.285573966207095,0.10000000000000002,14.25,0.23,3.0,0.20000000000000004,0.29999999999999993,0.33333333333333304,0.33333333333333304,1.5,0.05000000000000001,14.25,214.16900000000004,0.10000000000000002,1.1716611437469593,50.00000000000012,256.94553115565884,0.08208269525267996,0.05745788667687596,0.5597371234178058,0.5597371234178058,24.07494768927118,0.9243804183072828,24.087055257289897,47.46591210529805,10428429.644885832,0.002992851577117595,1.454437586289921,0.006791074274474461,630011.7548442814,1.1615967774813931,0.007888489992866324
Pampanga,235.6209999999996,2444446.1713441196,0.0758104,1.0034516765286001,184.13668452934704,1.2795983625003697,0.21220519393432696,0.5837932175387099,0.5837932175387099,0.382118437118437,0.382118437118437,0.13191753382387061,0.11329945497231074,0.41261508459160184,0.10396692591850498,8.490000000000002,0.23000000000000004,2.9999999999999987,0.2,0.29999999999999993,0.33333333333333287,0.33333333333333287,1.4999999999999993,0.05,8.490000000000002,235.621,0.10396692591850498,1.1716611437469593,49.999999999999986,250.84731531278825,0.08310176869521528,0.05817123808665069,0.5880789580789578,0.5880789580789578,14.581917697641806,0.3989860182169667,30.514639068183303,41.561321204471305,35644712.88685558,0.010229660211976375,1.0772093905290292,0.004571788552501811,2633180.370414618,1.5944350095334663,0.0072894197242932175
Pangasinan,182.38800000000003,2854701.4824350993,0.20371789999999995,0.886567164179105,184.13668452934698,0.9905033343365739,0.27414084259929394,0.635505299806107,0.635505299806107,0.446950440736166,0.446950440736166,0.18394332884305575,0.15381253962907768,0.28141028225369696,0.09999999999999999,17.58,0.22999999999999998,2.9999999999999996,0.19999999999999998,0.29999999999999993,0.333333333333333,0.333333333333333,1.4999999999999998,0.049999999999999996,17.58,182.388,0.09999999999999999,1.171661143746959,50.00000000000004,216.2576617005456,0.0822686567164179,0.05758805970149252,0.6313002938241103,0.6313002938241103,16.22860308684,0.6901379653446226,20.00997856381396,33.777885619263834,46327817.28985299,0.013295599567376045,0.8942516965630457,0.004903018271832827,2552821.643848629,1.0322918416732616,0.005061345761587962
Quezon,179.09200000000007,2055103.1159547197,0.2754229999999999,1.11720698254364,184.13668452934698,0.9726035876976868,0.279186116632792,0.589964760829172,0.589964760829172,0.362780034735979,0.362780034735979,0.015079997366951951,0.012365370518048249,0.190092306563477,0.1,17.609999999999996,0.22999999999999998,3.0,0.2,0.29999999999999993,0.333333333333333,0.333333333333333,1.5,0.05,17.609999999999996,179.09199999999998,0.1,1.171661143746959,50.0,228.16187927577062,0.07765586034912719,0.05435910224438904,0.5751866898239858,0.5751866898239858,1.176421737097392,0.05347908020784455,13.735111703497697,33.10913235371768,2417667.977585714,0.0006938457338313208,0.06875088875603533,0.0003838858729370119,141290.1657071845,0.9716847074625595,0.0003730160321438097
Rizal,294.4039999999998,2678553.46348061,0.060974,1.11720698254364,184.13668452934698,1.5988340441368096,0.16983464898574696,0.548077987002169,0.548077987002169,0.362780034735979,0.362780034735979,0.028791776701599665,0.02479247408911476,0.4079931427997029,0.106425721398091,16.23,0.22999999999999995,3.0,0.2,0.29999999999999993,0.333333333333333,0.333333333333333,1.5,0.05,16.23,294.404,0.106425721398091,1.1716611437469593,49.99999999999983,310.2739434264864,0.08264580958445274,0.057852066709116905,0.5751866898239858,0.5751866898239858,3.8807197638713755,0.07591733167738261,29.467808110057938,48.47561964690064,10394715.364315331,0.0029831759268794684,0.10864672937741073,0.000369039582945241,291016.073269704,2.2007824058458865,0.0008121758212065901
Samar,134.96799999999996,753363.084895201,0.5002708,0.7040462427745668,184.136684529347,0.7329772464676331,0.370458182680339,0.59513193838165,0.59513193838165,0.41525155702608,0.41525155702608,0.09267624229272155,0.06848673022009917,0.290019172186821,0.09999999999999999,11.87,0.22999999999999998,2.9999999999999996,0.19999999999999998,0.29999999999999993,0.333333333333333,0.333333333333333,1.4999999999999998,0.049999999999999996,11.87,134.968,0.09999999999999999,1.1716611437469593,49.999999999999986,220.02808721203397,0.08591907514450868,0.06014335260115606,0.6101677046840531,0.6101677046840531,7.60652377362844,0.5998344995749824,21.856543184337337,34.44618552688489,5730474.215429408,0.001644586232561629,1.1324665117368369,0.008390629717687429,853158.4648225708,0.5658614911569515,0.004747934243796439
Sarangani,107.68499999999992,518718.742502788,0.5315033,0.881398252184769,184.136684529347,0.5848101385948299,0.464317221525746,0.492333585156966,0.492333585156966,0.348469006721434,0.348469006721434,0.000575,0.000414913493520872,0.285538860754928,0.1,23.94,0.23,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,23.94,107.685,0.1,1.171661143746959,49.99999999999992,173.1278683499797,0.08237203495630463,0.05766042446941324,0.5656460044809558,0.5656460044809558,0.039541625283610285,0.003945423741242848,22.21317933378291,26.94182395840403,20510.982143630776,5.8864399863790075e-06,0.003688691688778312,3.425446151997318e-05,1913.3935142835717,0.447773113589729,1.533822688913795e-05
South Cotabato,191.36000000000067,1424914.1707334295,0.3198151,0.881398252184769,184.13668452934698,1.03922800874316,0.26128762541806,0.5546535653941859,0.5546535653941859,0.3484690067214338,0.3484690067214338,0.011558820641735051,0.009342258266390326,0.3496839797321359,0.12758339654857598,6.509999999999998,0.22999999999999998,2.999999999999999,0.2,0.29999999999999993,0.3333333333333329,0.3333333333333329,1.4999999999999996,0.05,6.509999999999998,191.36,0.12758339654857598,1.1716611437469593,50.00000000000014,257.8258426495511,0.10509304000343375,0.07356512800240358,0.5656460044809557,0.5656460044809557,1.4001157190266298,0.07032625841787755,27.3028466590696,51.605894030642794,1995044.7287076702,0.0005725569945578097,0.2433960616601411,0.0012719275797457206,346818.49736024265,0.8836278514699082,0.0011239106345160314
Sultan Kudarat,113.736,784135.419521753,0.4847439,0.8813982521847691,184.136684529347,0.617671597002569,0.439614545966097,0.5950146856941951,0.5950146856941951,0.34846900672143394,0.34846900672143394,0.08944971571503096,0.06680591931223306,0.3034363233234799,0.10000000000000002,7.14,0.23000000000000007,2.9999999999999996,0.20000000000000004,0.3,0.333333333333333,0.333333333333333,1.4999999999999998,0.05000000000000001,7.14,113.736,0.10000000000000002,1.1716611437469595,50.00000000000001,173.6977107112366,0.08237203495630464,0.05766042446941324,0.5656460044809559,0.5656460044809559,6.424804044119478,0.6037977209248278,24.23538563163584,28.665804092658394,5037916.41448068,0.0014458293789618472,1.894469050342542,0.01665672302826319,1485520.283561326,0.47497872768821287,0.007911589111419405
Tarlac,190.39200000000042,1318604.09835682,0.1655709,1.0034516765286,184.13668452934704,1.03397104431766,0.262616076305727,0.6202846990147461,0.6202846990147461,0.382118437118437,0.382118437118437,0.14635434305950384,0.12347678890804231,0.26528065189460004,0.1,10.719999999999997,0.23,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,10.719999999999997,190.39200000000002,0.1,1.1716611437469595,50.000000000000085,218.24916580689765,0.07993096646942802,0.05595167652859961,0.5880789580789578,0.5880789580789578,12.759627274022453,0.5006055767086417,20.03477254102038,35.09838267609548,16824896.81703146,0.004828571576774989,1.0537198828028131,0.005534475622940108,1389439.3559838573,1.12958268860065,0.006251647854155444
Zamboanga Del Sur,168.13099999999991,1841096.5179848897,0.32028760000000006,0.759818731117825,184.136684529347,0.913077154776314,0.297387156443488,0.547529317572646,0.547529317572646,0.35146437298987604,0.35146437298987604,0.055860028179361976,0.04514065535036737,0.403643010697264,0.129130326981283,15.309999999999999,0.23,3.0,0.2,0.3,0.333333333333333,0.333333333333333,1.5,0.05,15.309999999999999,168.131,0.129130326981283,1.1716611437469593,50.00000000000005,223.79556412388516,0.10950719874213333,0.07665503911949334,0.567642915326584,0.567642915326584,6.572419847841095,0.3891493985717629,32.70176939922609,47.98021652324112,12100459.296595018,0.0034727068142442396,0.5731323685701013,0.003408844107095665,1055192.008118846,0.7490230302230373,0.002553302742654739
