description, Average income in the province,Population,Poverty incidence,Access to early warning,National GDP per capita, Average income of the province,Relative income of poor families,Access to finance for poor people,Access to finance for non-poor people,Social protection for poor people,Social protection for non-poor people,"Exposure, poor people","Exposure, non-poor people",Asset vulnerability (poor people),Asset vulnerability (non-poor people), Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Risk transferred nationally,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate
variable,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho
Basilan,134.8675,404023.5380973554,0.36123693115752553,0.6619964973730298,184.13668452934704,0.7324314562561015,0.3707342391606577,0.5381683989550002,0.5381683989550002,0.23898428694556786,0.23898428694556786,,,0.3797132144787717,0.10901851901981452,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Bataan,277.019,716869.0901634786,0.0711549,1.0034516765285997,184.13668452934704,1.5044204836644037,0.18049303477378809,0.5804810334529839,0.5804810334529839,0.3821184371184371,0.3821184371184371,,,0.42325461224628547,0.1046988638663781,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Batanes,316.686,16631.536473052813,0.33333329999999994,0.8958652373660031,184.13668452934704,1.7198419793939959,0.15788509754141328,0.3910779059640433,0.3910779059640433,0.33960568512670886,0.33960568512670886,,,0.2150768218568661,0.1,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Batangas,219.272,2485002.055464736,0.1903506,1.1172069825436408,184.13668452934704,1.1908110573428579,0.22802729030610383,0.6010536034553412,0.6010536034553412,0.3627800347359787,0.3627800347359787,0.0026449999999999998,0.0022188896366748373,0.23035679084086155,0.1,7.73,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Benguet,303.525,754450.1517929225,0.0369417,0.953416149068323,184.13668452934704,1.6483679000510367,0.16473107651758506,0.6057756960807891,0.6057756960807891,0.40868266233885986,0.40868266233885986,,,0.42165574405076106,0.10801352316884659,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Biliran,237.761,166437.0193626354,0.2745147,0.7040462427745665,184.13668452934704,1.291220164019552,0.21029521241919408,0.6110771777036406,0.6110771777036406,0.4152515570260802,0.4152515570260802,,,0.40949850293916745,0.11392055028605536,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Bohol,148.638,1279708.2325984617,0.3682603,0.8471615720524016,184.13668452934704,0.8072155767326777,0.33638773395766897,0.5665354446515243,0.5665354446515243,0.399510616283393,0.399510616283393,,,0.3135611775818502,0.10000000000000002,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Bukidnon,145.749,1353046.844307569,0.4900081,0.8545887961859358,184.13668452934704,0.7915261446817842,0.343055526967595,0.49619856757832226,0.49619856757832226,0.3307547767123148,0.3307547767123148,0.027485,0.020455476589922316,0.22169420779163368,0.1,9.82,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Bulacan,253.279,3086241.8491950845,0.0730876,1.0034516765285997,184.13668452934704,1.37549451727873,0.19741076046573147,0.601417335117009,0.601417335117009,0.3821184371184371,0.3821184371184371,0.011614999999999999,0.009980541339181567,0.4186731348261979,0.10439589725830871,6.51,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Cagayan,179.424,1153021.1959109132,0.1970833,0.8958652373660031,184.13668452934704,0.9744065961576714,0.2786695202425539,0.6059700675895535,0.6059700675895535,0.33960568512670886,0.33960568512670886,0.11695499999999999,0.09795551973012892,0.29463311596193736,0.1,9.34,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
