description,Population, Average income of poor families, Average income of non poor families,Poverty incidence, Average income in the province,National GDP per capita,Social protection for poor people,Social protection for non-poor people,Asset vulnerability (poor people),Asset vulnerability (non-poor people),Access to early warning for poor people,Access to early warning for nonpoor people,"Exposure, poor people","Exposure, non-poor people", Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate,Asset vulnerability (shared losses), Hazard (protection),Average asset losses per person in the event of a disaster,Average welfare losses in the event of a disaster,Average consumption losses for poor people in the event of a disaster,Average consumption losses for nonpoor people in the event of a disaster,Average asset losses across persons in the event of a disaster,Expected welfare losses per capita due to natural disasters ,Total expected welfare losses due to natural disasters,Expected welfare losses,Socio-economic capacity,Risk to assets
variable,pop,cp,cr,pov_head,gdp_pc_pp,gdp_pc_pp_nat,social_p,social_r,v_p,v_r,shewp,shewr,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanh Hoa,3624888,310.262858937496,3809.64488805245,0.353658527135849,2572.05859375,3692.17485218631,0.257421791553497,0.257421791553497,0.0425287356723456,0.0333333333333333,0.812244897959184,0.812244897959184,0.378737613686493,0.326556855627059,8.13339,0.2697,3,0.2,0,0,1.5,0.05,0.027918367346938745,8.13339,88.72525735317456,1.767947709496731e-05,33.56008242100041,325.994699751068,39543059.00447836,25.36090006130274,91930422.30141556,0.009860156422147114,0.4301411656179182,0.0042412591765973616
Nghe An,3100359,301.620064654581,3264.06214380473,0.257777780294418,2500.41040039062,3692.17485218631,0.303964786231518,0.303964786231518,0.0367816092901957,0.0333333333333333,0.799107142857143,0.799107142857143,0.338281144657913,0.297694999058287,8.34776,0.2697,3,0.2,0,0,1.5,0.05,0.02800595238095235,8.34776,77.90536819179898,1.3028470809972603e-05,27.2759680389568,266.5875130548563,28934062.48164271,17.453617663625447,54112480.60598013,0.006980301178118121,0.5347022010010223,0.0037323824035897886
Ha Tinh,1305396,282.727464303477,3067.94976338736,0.259999990463257,2343.7919921875,3692.17485218631,0.346420831978321,0.346420831978321,0.0384615388550085,0.0333333333333333,0.893333333333333,0.893333333333333,0.503881556343059,0.443245533778378,6.74015,0.2697,3,0.2,0,0,1.5,0.05,0.02737777777777775,6.74015,106.48920953820726,1.9965072830085973e-05,26.653461732082377,251.36699733657662,20624257.349515606,30.062337454311262,39243255.0635081,0.012826367508088285,0.5255490992309119,0.006740885890280434
Quang Binh,900578,310.477345107382,3468.65313841868,0.283333331346512,2573.83666992188,3692.17485218631,0.168648671358824,0.168648671358824,0.0333333333333333,0.0333333333333333,0.808333333333333,0.808333333333333,0.412355464660392,0.361117895554503,7.10385,0.2697,3,0.2,0,0,1.5,0.05,0.027944444444444418,7.10385,96.77105967879406,1.550305559838705e-05,28.981335837269263,320.67389676372176,12267979.670658726,25.48828648259882,22954190.06392588,0.009902837573361805,0.5344549137431217,0.005292620201083229
Quang Tri,639805,311.113706106817,3713.11128846062,0.333333343267441,2579.11206054688,3692.17485218631,0.188250351697206,0.188250351697206,0.0333333333333333,0.0333333333333333,0.87,0.87,0.324086445089506,0.280796593022832,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027533333333333302,6.50645,74.39157882497787,1.2738497420006212e-05,27.719879894484635,327.7448819896994,7315218.604633089,22.93624179023062,14674722.178598503,0.008893076862029475,0.4984911138761826,0.00443311979073958
Thua Thien Hue,1157792,404.685484400429,3867.88208481591,0.148148149251938,3354.81591796875,3692.17485218631,0.221995271742344,0.221995271742344,0.0333333333333333,0.0333333333333333,0.911111111111111,0.911111111111111,0.379809934594193,0.340105755779062,52.6529,0.2697,3,0.2,0,0,1.5,0.05,0.027259259259259233,52.6529,115.56355299506718,1.022270024209071e-05,35.27114524318424,333.66696593622186,2541143.168738376,3.374378455665805,3906828.380942224,0.0010058311806595038,0.6504363440007361,0.0006542291558301116
Da Nang city,940188,569.445437465869,4863.81055028889,0.0333333350718021,4720.6650390625,3692.17485218631,0.232459001243114,0.232459001243114,0.0333333333333333,0.0333333333333333,0.975,0.975,0.22174431366884,0.201317072397537,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.026833333333333303,6.50645,94.59204738259326,4.182792003204483e-06,46.40620712820474,394.07196999683197,13668637.712507682,18.649977525423413,17534485.06967279,0.003950709777351033,0.7795288916780693,0.0030796924140801623
Quang Nam,1515708,328.197354309212,3786.50086416107,0.308176100254059,2720.734375,3692.17485218631,0.224189573898911,0.224189573898911,0.0333333333333333,0.0333333333333333,0.779874213836478,0.779874213836478,0.296166515551051,0.258044630816374,7.36177,0.2697,3,0.2,0,0,1.5,0.05,0.028134171907756786,7.36177,73.63982770746492,1.1234960497041868e-05,28.8341771279179,329.29179821500765,15161635.853174744,19.371598903460242,29361687.430765916,0.0071199890299692495,0.5163748128892619,0.0036765830031239687
Quang Ngai,1292018,315.171803289211,3726.73234877105,0.326530605554581,2612.75341796875,3692.17485218631,0.140036443248391,0.140036443248391,0.0333333333333333,0.0333333333333333,0.855172413793103,0.855172413793103,0.289182869013475,0.250945441468711,11.072,0.2697,3,0.2,0,0,1.5,0.05,0.02763218390804595,11.072,67.57884446828226,1.1244715991232113e-05,29.076752532289316,341.77200126808293,7885936.007245404,12.131592088880462,15674235.347491156,0.00464322121079149,0.5031145591741827,0.002336072192615575
Binh Dinh,1579651,423.90633723671,3876.46058254018,0.104938268661499,3514.15551757812,3692.17485218631,0.173469252884388,0.173469252884388,0.0333333333333333,0.0333333333333333,0.827160493827161,0.827160493827161,0.340798450459023,0.306892291678384,10.8682,0.2697,3,0.2,0,0,1.5,0.05,0.02781893004115223,10.8682,111.39697249088132,8.606279029876873e-06,38.72495514773821,351.7730601233832,16191120.792053252,14.755058129566692,23307842.329428155,0.004198749331314614,0.6946640775757511,0.0029167203312094677
