AREA # 010101,Sucre,,
AREA # 011003,Macharetí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",461,27.6,27.6
"Adobe, tapial",645,38.62,66.23
"Tabique,quinche",474,28.38,94.61
Piedra,2,0.12,94.73
Madera,68,4.07,98.8
"Caña, palma, tronco",5,0.3,99.1
Otro,15,0.9,100
Total,"           1,670",100,100
NSA :,341,,
AREA # 020101,La Paz,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","         164,387",72.67,72.67
"Adobe, tapial","          58,486",25.86,98.53
"Tabique,quinche",529,0.23,98.76
Piedra,736,0.33,99.09
Madera,945,0.42,99.51
"Caña, palma, tronco",137,0.06,99.57
Otro,977,0.43,100
Total,"         226,197",100,100
NSA :,"          22,548",,
AREA # 020102,Palca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",460,9.44,9.44
"Adobe, tapial","           4,367",89.6,99.04
"Tabique,quinche",4,0.08,99.12
Piedra,17,0.35,99.47
Madera,3,0.06,99.53
"Caña, palma, tronco",2,0.04,99.57
Otro,21,0.43,100
Total,"           4,874",100,100
NSA :,424,,
AREA # 020103,Mecapaca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,397",49.62,49.62
"Adobe, tapial","           2,374",49.14,98.76
"Tabique,quinche",12,0.25,99.01
Piedra,11,0.23,99.23
Madera,11,0.23,99.46
"Caña, palma, tronco",1,0.02,99.48
Otro,25,0.52,100
Total,"           4,831",100,100
NSA :,848,,
AREA # 020104,Achocalla,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,380",48.16,48.16
"Adobe, tapial","           3,529",50.28,98.45
"Tabique,quinche",11,0.16,98.6
Piedra,5,0.07,98.67
Madera,11,0.16,98.83
Otro,82,1.17,100
Total,"           7,018",100,100
NSA :,733,,
AREA # 020105,El Alto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","         137,452",53.8,53.8
"Adobe, tapial","         116,153",45.46,99.26
"Tabique,quinche",434,0.17,99.43
Piedra,168,0.07,99.49
Madera,78,0.03,99.53
"Caña, palma, tronco",9,0,99.53
Otro,"           1,204",0.47,100
Total,"         255,498",100,100
NSA :,"          23,893",,
AREA # 020201,Achacachi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,940",11.95,11.95
"Adobe, tapial","          14,227",87.62,99.56
"Tabique,quinche",17,0.1,99.67
Piedra,26,0.16,99.83
Madera,5,0.03,99.86
"Caña, palma, tronco",6,0.04,99.9
Otro,17,0.1,100
Total,"          16,238",100,100
NSA :,"           1,309",,
AREA # 020202,Ancoraimes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",170,3.38,3.38
"Adobe, tapial","           4,816",95.65,99.03
"Tabique,quinche",28,0.56,99.58
Piedra,15,0.3,99.88
Otro,6,0.12,100
Total,"           5,035",100,100
NSA :,428,,
AREA # 020203,Chua Cocani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",475,23.39,23.39
"Adobe, tapial","           1,545",76.07,99.46
Piedra,5,0.25,99.7
Otro,6,0.3,100
Total,"           2,031",100,100
NSA :,199,,
AREA # 020204,Huarina,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",339,9.56,9.56
"Adobe, tapial","           3,180",89.7,99.27
"Tabique,quinche",8,0.23,99.49
Piedra,16,0.45,99.94
Otro,2,0.06,100
Total,"           3,545",100,100
NSA :,445,,
AREA # 020205,Santiago de Huata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",184,5.27,5.27
"Adobe, tapial","           3,273",93.81,99.08
"Tabique,quinche",26,0.75,99.83
Piedra,5,0.14,99.97
Otro,1,0.03,100
Total,"           3,489",100,100
NSA :,313,,
AREA # 020206,Huatajata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",563,33.9,33.9
"Adobe, tapial","           1,056",63.58,97.47
"Tabique,quinche",41,2.47,99.94
Otro,1,0.06,100
Total,"           1,661",100,100
NSA :,157,,
AREA # 020301,Corocoro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",158,4.24,4.24
"Adobe, tapial","           3,540",95.01,99.25
"Tabique,quinche",9,0.24,99.49
Piedra,15,0.4,99.89
Otro,4,0.11,100
Total,"           3,726",100,100
NSA :,686,,
AREA # 020302,Caquiaviri,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",284,6.72,6.72
"Adobe, tapial","           3,866",91.46,98.18
"Tabique,quinche",5,0.12,98.3
Piedra,64,1.51,99.81
Otro,8,0.19,100
Total,"           4,227",100,100
NSA :,249,,
AREA # 020303,Calacoto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",89,2.51,2.51
"Adobe, tapial","           3,030",85.5,88.01
"Tabique,quinche",2,0.06,88.06
Piedra,416,11.74,99.8
Madera,1,0.03,99.83
Otro,6,0.17,100
Total,"           3,544",100,100
NSA :,585,,
AREA # 020304,Comanche,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",11,0.84,0.84
"Adobe, tapial","           1,286",97.94,98.78
"Tabique,quinche",3,0.23,99.01
Piedra,13,0.99,100
Total,"           1,313",100,100
NSA :,318,,
AREA # 020305,Charaña,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",39,3.34,3.34
"Adobe, tapial",995,85.12,88.45
Piedra,134,11.46,99.91
Otro,1,0.09,100
Total,"           1,169",100,100
NSA :,302,,
AREA # 020306,Waldo Ballivián,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",27,2.54,2.54
"Adobe, tapial","           1,025",96.24,98.78
"Tabique,quinche",9,0.85,99.62
Piedra,3,0.28,99.91
Otro,1,0.09,100
Total,"           1,065",100,100
NSA :,109,,
AREA # 020307,Nazacara de Pacajes,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",11,3.77,3.77
"Adobe, tapial",279,95.55,99.32
"Tabique,quinche",1,0.34,99.66
Piedra,1,0.34,100
Total,292,100,100
NSA :,10,,
AREA # 020308,Callapa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",46,1.64,1.64
"Adobe, tapial","           2,743",97.93,99.57
"Tabique,quinche",8,0.29,99.86
