AREA # 010101,Sucre,,
Madera,189,1.37,98.44
"Caña, palma, tronco",126,0.91,99.35
Otro,90,0.65,100
Total,"          13,814",100,100
NSA :,"           1,599",,
AREA # 030904,Vinto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          10,557",73.74,73.74
"Adobe, tapial","           3,467",24.22,97.96
"Tabique,quinche",19,0.13,98.09
Piedra,115,0.8,98.9
Madera,33,0.23,99.13
"Caña, palma, tronco",36,0.25,99.38
Otro,89,0.62,100
Total,"          14,316",100,100
NSA :,"           1,871",,
AREA # 030905,Colcapirhua,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          11,123",82.5,82.5
"Adobe, tapial","           2,233",16.56,99.07
"Tabique,quinche",12,0.09,99.15
Piedra,25,0.19,99.34
Madera,30,0.22,99.56
"Caña, palma, tronco",4,0.03,99.59
Otro,55,0.41,100
Total,"          13,482",100,100
NSA :,"           1,365",,
AREA # 031001,Sacaba,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          32,166",68.76,68.76
"Adobe, tapial","          13,178",28.17,96.93
"Tabique,quinche",45,0.1,97.03
Piedra,563,1.2,98.23
Madera,362,0.77,99.01
"Caña, palma, tronco",91,0.19,99.2
Otro,373,0.8,100
Total,"          46,778",100,100
NSA :,"           6,480",,
AREA # 031002,Colomi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,686",25.3,25.3
"Adobe, tapial","           3,021",45.33,70.62
"Tabique,quinche",21,0.32,70.94
Piedra,284,4.26,75.2
Madera,"           1,417",21.26,96.46
"Caña, palma, tronco",203,3.05,99.5
Otro,33,0.5,100
Total,"           6,665",100,100
NSA :,"           1,906",,
AREA # 031003,Villa Tunari,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           5,889",22,22
"Adobe, tapial",76,0.28,22.28
"Tabique,quinche",32,0.12,22.4
Piedra,252,0.94,23.34
Madera,"          15,086",56.35,79.69
"Caña, palma, tronco","           5,095",19.03,98.72
Otro,343,1.28,100
Total,"          26,773",100,100
NSA :,"           5,395",,
AREA # 031101,Tapacarí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",366,4.51,4.51
"Adobe, tapial","           7,313",90.09,94.6
"Tabique,quinche",40,0.49,95.1
Piedra,366,4.51,99.61
Madera,5,0.06,99.67
"Caña, palma, tronco",12,0.15,99.82
Otro,15,0.18,100
Total,"           8,117",100,100
NSA :,"           1,495",,
AREA # 031201,Totora,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",191,4.06,4.06
"Adobe, tapial","           3,524",74.82,78.87
"Tabique,quinche",22,0.47,79.34
Piedra,75,1.59,80.93
Madera,634,13.46,94.39
"Caña, palma, tronco",255,5.41,99.81
Otro,9,0.19,100
Total,"           4,710",100,100
NSA :,"           1,389",,
AREA # 031202,Pojo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",121,4.04,4.04
"Adobe, tapial","           2,268",75.68,79.71
"Tabique,quinche",10,0.33,80.05
Piedra,58,1.94,81.98
Madera,350,11.68,93.66
"Caña, palma, tronco",174,5.81,99.47
Otro,16,0.53,100
Total,"           2,997",100,100
NSA :,827,,
AREA # 031203,Pocona,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",143,4.01,4.01
"Adobe, tapial","           3,333",93.52,97.53
"Tabique,quinche",12,0.34,97.87
Piedra,43,1.21,99.07
Madera,21,0.59,99.66
"Caña, palma, tronco",9,0.25,99.92
Otro,3,0.08,100
Total,"           3,564",100,100
NSA :,"           1,145",,
AREA # 031204,Chimoré,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,921",39.71,39.71
"Adobe, tapial",20,0.27,39.98
"Tabique,quinche",5,0.07,40.05
Piedra,30,0.41,40.46
Madera,"           3,372",45.84,86.3
"Caña, palma, tronco",902,12.26,98.56
Otro,106,1.44,100
Total,"           7,356",100,100
NSA :,782,,
AREA # 031205,Puerto Villarroel,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           6,222",36.92,36.92
"Adobe, tapial",19,0.11,37.03
"Tabique,quinche",8,0.05,37.08
Piedra,67,0.4,37.47
Madera,"           8,560",50.79,88.26
"Caña, palma, tronco","           1,728",10.25,98.52
Otro,250,1.48,100
Total,"          16,854",100,100
NSA :,"           2,139",,
AREA # 031206,Entre Ríos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           4,824",38.59,38.59
"Adobe, tapial",21,0.17,38.76
"Tabique,quinche",11,0.09,38.85
Piedra,65,0.52,39.37
Madera,"           5,144",41.15,80.52
"Caña, palma, tronco","           2,203",17.62,98.14
Otro,232,1.86,100
Total,"          12,500",100,100
NSA :,"           1,170",,
AREA # 031301,Mizque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,313",16.76,16.76
"Adobe, tapial","           5,871",74.96,91.73
"Tabique,quinche",19,0.24,91.97
Piedra,576,7.35,99.32
Madera,21,0.27,99.59
"Caña, palma, tronco",22,0.28,99.87
Otro,10,0.13,100
Total,"           7,832",100,100
NSA :,"           2,787",,
AREA # 031302,Vila Vila,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",36,2.33,2.33
"Adobe, tapial","           1,312",85.03,87.36
"Tabique,quinche",19,1.23,88.59
Piedra,173,11.21,99.81
"Caña, palma, tronco",2,0.13,99.94
Otro,1,0.06,100
Total,"           1,543",100,100
NSA :,265,,
AREA # 031303,Alalay,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",11,0.98,0.98
"Adobe, tapial",924,82.13,83.11
"Tabique,quinche",1,0.09,83.2
Piedra,184,16.36,99.56
Madera,3,0.27,99.82
Otro,2,0.18,100
Total,"           1,125",100,100
NSA :,323,,
AREA # 031401,Punata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           4,030",46.18,46.18
"Adobe, tapial","           4,635",53.12,99.3
"Tabique,quinche",17,0.19,99.5
Piedra,10,0.11,99.61
Madera,5,0.06,99.67
"Caña, palma, tronco",5,0.06,99.72
Otro,24,0.28,100
Total,"           8,726",100,100
NSA :,"           1,968",,
AREA # 031402,Villa Rivero,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",919,30.22,30.22
"Adobe, tapial","           2,100",69.06,99.28
"Tabique,quinche",8,0.26,99.54
Piedra,2,0.07,99.61
"Caña, palma, tronco",1,0.03,99.64
Otro,11,0.36,100
Total,"           3,041",100,100
NSA :,630,,
AREA # 031403,San Benito,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,808",45.99,45.99
"Adobe, tapial","           2,072",52.71,98.7
"Tabique,quinche",8,0.2,98.91
Piedra,28,0.71,99.62
Madera,2,0.05,99.67
"Caña, palma, tronco",2,0.05,99.72
Otro,11,0.28,100
Total,"           3,931",100,100
NSA :,"           1,274",,
AREA # 031404,Tacachi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",42,11.7,11.7
"Adobe, tapial",314,87.47,99.16
Piedra,1,0.28,99.44
"Caña, palma, tronco",1,0.28,99.72
Otro,1,0.28,100
Total,359,100,100
NSA :,82,,
AREA # 031405,Cuchumuela,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",39,5.71,5.71
"Adobe, tapial",567,83.02,88.73
"Tabique,quinche",1,0.15,88.87
Piedra,72,10.54,99.41
"Caña, palma, tronco",3,0.44,99.85
Otro,1,0.15,100
Total,683,100,100
NSA :,36,,
AREA # 031501,Bolívar,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",32,1.35,1.35
"Adobe, tapial","           2,187",92.2,93.55
"Tabique,quinche",4,0.17,93.72
Piedra,146,6.16,99.87
Madera,1,0.04,99.92
"Caña, palma, tronco",1,0.04,99.96
Otro,1,0.04,100
Total,"           2,372",100,100
NSA :,463,,
AREA # 031601,Tiraque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",301,4.65,4.65
"Adobe, tapial","           5,488",84.85,89.5
"Tabique,quinche",15,0.23,89.73
Piedra,347,5.36,95.1
Madera,51,0.79,95.89
"Caña, palma, tronco",252,3.9,99.78
Otro,14,0.22,100
Total,"           6,468",100,100
NSA :,"           2,362",,
AREA # 031602,Shinahota,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,862",37.62,37.62
"Adobe, tapial",11,0.14,37.76
"Tabique,quinche",9,0.12,37.88
Piedra,58,0.76,38.64
Madera,"           3,379",44.41,83.06
"Caña, palma, tronco","           1,220",16.04,99.09
Otro,69,0.91,100
Total,"           7,608",100,100
NSA :,793,,
AREA # 040101,Oruro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          37,473",48.9,48.9
"Adobe, tapial","          38,424",50.14,99.04
"Tabique,quinche",109,0.14,99.18
Piedra,252,0.33,99.51
Madera,61,0.08,99.59
"Caña, palma, tronco",4,0.01,99.6
Otro,310,0.4,100
Total,"          76,633",100,100
NSA :,"          11,973",,
AREA # 040102,Caracollo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",417,6.24,6.24
"Adobe, tapial","           6,217",92.99,99.22
"Tabique,quinche",14,0.21,99.43
Piedra,30,0.45,99.88
Madera,1,0.01,99.9
"Caña, palma, tronco",2,0.03,99.93
Otro,5,0.07,100
Total,"           6,686",100,100
NSA :,"           1,113",,
AREA # 040103,El Choro,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",38,1.16,1.16
"Adobe, tapial","           2,361",72.36,73.52
"Tabique,quinche",13,0.4,73.92
Piedra,4,0.12,74.04
Madera,1,0.03,74.07
"Caña, palma, tronco",5,0.15,74.23
Otro,841,25.77,100
Total,"           3,263",100,100
NSA :,"           1,086",,
AREA # 040104,Soracachi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",112,3.25,3.25
"Adobe, tapial","           3,295",95.73,98.98
"Tabique,quinche",15,0.44,99.42
Piedra,16,0.46,99.88
Otro,4,0.12,100
Total,"           3,442",100,100
NSA :,404,,
AREA # 040201,Challapata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",893,8.87,8.87
"Adobe, tapial","           8,922",88.66,97.54
"Tabique,quinche",28,0.28,97.81
Piedra,186,1.85,99.66
Madera,6,0.06,99.72
Otro,28,0.28,100
Total,"          10,063",100,100
NSA :,"           1,569",,
AREA # 040202,Quillacas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",57,3.68,3.68
"Adobe, tapial","           1,397",90.19,93.87
"Tabique,quinche",4,0.26,94.13
Piedra,80,5.16,99.29
Madera,5,0.32,99.61
"Caña, palma, tronco",1,0.06,99.68
Otro,5,0.32,100
Total,"           1,549",100,100
NSA :,519,,
AREA # 040301,Corque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",230,7.24,7.24
"Adobe, tapial","           2,834",89.23,96.47
"Tabique,quinche",14,0.44,96.91
Piedra,88,2.77,99.69
Madera,2,0.06,99.75
"Caña, palma, tronco",5,0.16,99.91
Otro,3,0.09,100
Total,"           3,176",100,100
NSA :,"           1,147",,
AREA # 040302,Choque Cota,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",22,4.25,4.25
"Adobe, tapial",484,93.44,97.68
Piedra,10,1.93,99.61
Madera,1,0.19,99.81
Otro,1,0.19,100
Total,518,100,100
NSA :,495,,
AREA # 040401,Curahuara de Carangas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",91,6.71,6.71
"Adobe, tapial","           1,155",85.18,91.89
"Tabique,quinche",3,0.22,92.11
Piedra,98,7.23,99.34
Otro,9,0.66,100
Total,"           1,356",100,100
NSA :,648,,
AREA # 040402,Turco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",144,9.27,9.27
"Adobe, tapial","           1,316",84.68,93.95
"Tabique,quinche",2,0.13,94.08
Piedra,85,5.47,99.55
Otro,7,0.45,100
Total,"           1,554",100,100
NSA :,979,,
AREA # 040501,Huachacalla,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",114,32.39,32.39
"Adobe, tapial",234,66.48,98.86
"Tabique,quinche",1,0.28,99.15
Otro,3,0.85,100
Total,352,100,100
NSA :,453,,
AREA # 040502,Escara,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",64,5.9,5.9
"Adobe, tapial",933,86.07,91.97
"Tabique,quinche",1,0.09,92.07
Piedra,79,7.29,99.35
"Caña, palma, tronco",1,0.09,99.45
Otro,6,0.55,100
Total,"           1,084",100,100
NSA :,37,,
AREA # 040503,Cruz de Machacamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",136,23.25,23.25
"Adobe, tapial",369,63.08,86.32
"Tabique,quinche",3,0.51,86.84
Piedra,76,12.99,99.83
Madera,1,0.17,100
Total,585,100,100
NSA :,47,,
AREA # 040504,Yunguyo de Litoral,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",16,9.52,9.52
"Adobe, tapial",144,85.71,95.24
Piedra,8,4.76,100
Total,168,100,100
NSA :,36,,
AREA # 040505,Esmeralda,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",251,34.76,34.76
"Adobe, tapial",437,60.53,95.29
Piedra,33,4.57,99.86
Otro,1,0.14,100
Total,722,100,100
NSA :,62,,
AREA # 040601,Poopó,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",262,9.21,9.21
"Adobe, tapial","           2,494",87.63,96.84
"Tabique,quinche",8,0.28,97.12
Piedra,37,1.3,98.42
Madera,1,0.04,98.45
Otro,44,1.55,100
Total,"           2,846",100,100
NSA :,"           1,073",,
AREA # 040602,Pazña,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",135,6.18,6.18
"Adobe, tapial","           2,001",91.58,97.76
"Tabique,quinche",10,0.46,98.22
Piedra,36,1.65,99.86
Otro,3,0.14,100
Total,"           2,185",100,100
NSA :,472,,
AREA # 040603,Antequera,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",179,15.66,15.66
"Adobe, tapial",946,82.76,98.43
"Tabique,quinche",3,0.26,98.69
Piedra,6,0.52,99.21
Madera,1,0.09,99.3
Otro,8,0.7,100
Total,"           1,143",100,100
NSA :,379,,
AREA # 040701,Huanuni,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,135",29.6,29.6
"Adobe, tapial","           4,976",69,98.6
"Tabique,quinche",27,0.37,98.97
Piedra,23,0.32,99.29
Madera,20,0.28,99.57
Otro,31,0.43,100
Total,"           7,212",100,100
NSA :,"           1,002",,
AREA # 040702,Machacamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",64,4.08,4.08
"Adobe, tapial","           1,491",95.09,99.17
"Tabique,quinche",2,0.13,99.3
Piedra,4,0.26,99.55
Madera,2,0.13,99.68
Otro,5,0.32,100
Total,"           1,568",100,100
NSA :,449,,
AREA # 040801,Salinas de García Mendoza,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",230,5.94,5.94
"Adobe, tapial","           3,516",90.74,96.67
"Tabique,quinche",35,0.9,97.57
Piedra,84,2.17,99.74
Madera,1,0.03,99.77
"Caña, palma, tronco",1,0.03,99.79
Otro,8,0.21,100
Total,"           3,875",100,100
NSA :,"           1,140",,
AREA # 040802,Pampa Aullagas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",37,3.55,3.55
"Adobe, tapial",984,94.43,97.98
"Tabique,quinche",4,0.38,98.37
Piedra,6,0.58,98.94
Otro,11,1.06,100
Total,"           1,042",100,100
NSA :,549,,
AREA # 040901,Sabaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",337,14.93,14.93
"Adobe, tapial","           1,791",79.35,94.28
"Tabique,quinche",9,0.4,94.68
Piedra,106,4.7,99.38
Madera,5,0.22,99.6
"Caña, palma, tronco",1,0.04,99.65
Otro,8,0.35,100
Total,"           2,257",100,100
NSA :,737,,
AREA # 040902,Coipasa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",50,19.84,19.84
"Adobe, tapial",144,57.14,76.98
Piedra,58,23.02,100
Total,252,100,100
NSA :,89,,
AREA # 040903,Chipaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",17,2.88,2.88
"Adobe, tapial",444,75.13,78
"Tabique,quinche",1,0.17,78.17
Piedra,1,0.17,78.34
Otro,128,21.66,100
Total,591,100,100
NSA :,648,,
AREA # 041001,Toledo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",85,1.97,1.97
"Adobe, tapial","           3,922",90.79,92.75
"Tabique,quinche",38,0.88,93.63
Piedra,73,1.69,95.32
Madera,1,0.02,95.35
"Caña, palma, tronco",2,0.05,95.39
Otro,199,4.61,100
Total,"           4,320",100,100
NSA :,"           1,571",,
AREA # 041101,Eucaliptus,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",123,6.48,6.48
"Adobe, tapial","           1,746",91.94,98.42
"Tabique,quinche",6,0.32,98.74
Piedra,13,0.68,99.42
Otro,11,0.58,100
Total,"           1,899",100,100
NSA :,661,,
AREA # 041201,Santiago de Andamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",81,4.06,4.06
"Adobe, tapial","           1,840",92.28,96.34
"Tabique,quinche",3,0.15,96.49
Piedra,69,3.46,99.95
Otro,1,0.05,100
Total,"           1,994",100,100
NSA :,"           1,219",,
AREA # 041202,Belén de Andamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",21,2.88,2.88
"Adobe, tapial",689,94.51,97.39
Piedra,16,2.19,99.59
"Caña, palma, tronco",2,0.27,99.86
Otro,1,0.14,100
Total,729,100,100
NSA :,495,,
AREA # 041301,San Pedro de Totora,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",27,1.44,1.44
"Adobe, tapial","           1,746",93.32,94.76
"Tabique,quinche",13,0.69,95.46
Piedra,81,4.33,99.79
Madera,2,0.11,99.89
Otro,2,0.11,100
Total,"           1,871",100,100
NSA :,979,,
AREA # 041401,Huari,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",214,5.04,5.04
"Adobe, tapial","           3,858",90.82,95.86
"Tabique,quinche",8,0.19,96.05
Piedra,154,3.63,99.67
Madera,4,0.09,99.76
"Caña, palma, tronco",1,0.02,99.79
Otro,9,0.21,100
Total,"           4,248",100,100
NSA :,"           1,041",,
AREA # 041501,La Rivera,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",18,9.94,9.94
"Adobe, tapial",130,71.82,81.77
Piedra,33,18.23,100
Total,181,100,100
NSA :,9,,
AREA # 041502,Todos Santos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",6,3.11,3.11
"Adobe, tapial",72,37.31,40.41
"Tabique,quinche",1,0.52,40.93
Piedra,113,58.55,99.48
Madera,1,0.52,100
Total,193,100,100
NSA :,87,,
AREA # 041503,Carangas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",7,2.86,2.86
"Adobe, tapial",147,60,62.86
"Tabique,quinche",1,0.41,63.27
Piedra,88,35.92,99.18
Madera,2,0.82,100
Total,245,100,100
NSA :,57,,
AREA # 041601,Huayllamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",53,2.35,2.35
"Adobe, tapial","           1,915",84.96,87.31
"Tabique,quinche",2,0.09,87.4
Piedra,265,11.76,99.16
Madera,2,0.09,99.25
"Caña, palma, tronco",1,0.04,99.29
Otro,16,0.71,100
Total,"           2,254",100,100
NSA :,"           1,237",,
AREA # 050101,Potosí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          21,141",41.44,41.44
"Adobe, tapial","          28,537",55.94,97.38
"Tabique,quinche",852,1.67,99.05
Piedra,292,0.57,99.62
Madera,34,0.07,99.69
"Caña, palma, tronco",4,0.01,99.7
Otro,155,0.3,100
Total,"          51,015",100,100
NSA :,"           4,031",,
AREA # 050102,Tinguipaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",216,2.87,2.87
"Adobe, tapial","           6,470",86.08,88.96
"Tabique,quinche",133,1.77,90.73
Piedra,672,8.94,99.67
Madera,21,0.28,99.95
"Caña, palma, tronco",1,0.01,99.96
Otro,3,0.04,100
Total,"           7,516",100,100
NSA :,"           1,489",,
AREA # 050103,Yocalla,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",271,8.75,8.75
"Adobe, tapial","           2,758",89.03,97.77
"Tabique,quinche",5,0.16,97.93
Piedra,58,1.87,99.81
"Caña, palma, tronco",2,0.06,99.87
Otro,4,0.13,100
Total,"           3,098",100,100
NSA :,492,,
AREA # 050104,Urmiri,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",28,2.54,2.54
"Adobe, tapial",752,68.3,70.84
"Tabique,quinche",4,0.36,71.21
Piedra,317,28.79,100
Total,"           1,101",100,100
NSA :,514,,
AREA # 050201,Uncía,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",541,8.17,8.17
"Adobe, tapial","           5,912",89.26,97.43
"Tabique,quinche",137,2.07,99.5
Piedra,29,0.44,99.94
Otro,4,0.06,100
Total,"           6,623",100,100
NSA :,582,,
AREA # 050202,Chayanta,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",112,2.39,2.39
"Adobe, tapial","           4,315",92.2,94.59
"Tabique,quinche",154,3.29,97.88
Piedra,68,1.45,99.34
Madera,8,0.17,99.51
Otro,23,0.49,100
Total,"           4,680",100,100
NSA :,487,,
AREA # 050203,Llallagua,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,168",17.64,17.64
"Adobe, tapial","           9,485",77.17,94.81
"Tabique,quinche",527,4.29,99.1
Piedra,45,0.37,99.46
Madera,32,0.26,99.72
"Caña, palma, tronco",2,0.02,99.74
Otro,32,0.26,100
Total,"          12,291",100,100
NSA :,"           2,009",,
AREA # 050204,Chuquiuta,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",238,10.48,10.48
"Adobe, tapial","           2,002",88.15,98.63
"Tabique,quinche",4,0.18,98.81
Piedra,27,1.19,100
Total,"           2,271",100,100
NSA :,208,,
AREA # 050301,Betanzos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,239",12.93,12.93
"Adobe, tapial","           7,908",82.55,95.48
"Tabique,quinche",209,2.18,97.66
Piedra,193,2.01,99.68
Madera,17,0.18,99.85
Otro,14,0.15,100
Total,"           9,580",100,100
NSA :,"           1,905",,
AREA # 050302,Chaquí,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",347,10.78,10.78
"Adobe, tapial","           2,537",78.81,89.59
"Tabique,quinche",150,4.66,94.25
Piedra,161,5,99.25
Madera,11,0.34,99.6
"Caña, palma, tronco",2,0.06,99.66
Otro,11,0.34,100
Total,"           3,219",100,100
NSA :,472,,
AREA # 050303,Tacobamba,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",32,0.83,0.83
"Adobe, tapial","           3,589",92.98,93.81
"Tabique,quinche",97,2.51,96.32
Piedra,128,3.32,99.64
Madera,13,0.34,99.97
Otro,1,0.03,100
Total,"           3,860",100,100
NSA :,541,,
AREA # 050401,Colquechaca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",290,2.77,2.77
"Adobe, tapial","           9,068",86.56,89.33
"Tabique,quinche",558,5.33,94.65
Piedra,505,4.82,99.47
Madera,43,0.41,99.89
"Caña, palma, tronco",1,0.01,99.89
Otro,11,0.11,100
Total,"          10,476",100,100
NSA :,"           1,264",,
AREA # 050402,Ravelo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",242,3.72,3.72
"Adobe, tapial","           5,788",88.98,92.7
"Tabique,quinche",189,2.91,95.6
Piedra,240,3.69,99.29
Madera,31,0.48,99.77
"Caña, palma, tronco",8,0.12,99.89
Otro,7,0.11,100
Total,"           6,505",100,100
NSA :,"           1,508",,
AREA # 050403,Pocoata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
